Date,High,Low,Open,Close,Volume,close_90,Target,SMA,Momentum,WMA,High_Low_Diff,open_close_ratio,Predictions,Capital,Portfolio_Value,Profit
1999-11-22 00:00:00-05:00,0.04923585467475162,0.049415621986703025,0.04885476446549762,0.050057900550787605,0.11421028225085648,0.05921492648119578,1.0,0.05023347135299384,0.6107027422522364,0.050057900550787605,0.12370340325004214,0.5157467206107631,1,9000.0,10000.0,0.0
1999-11-23 00:00:00-05:00,0.049788037490115795,0.04938023738830971,0.04864762354011351,0.04995198990638677,0.08817289836571686,0.050528670020502174,1.0,0.05027714921414402,0.6133219597426115,0.04995198990638677,0.20573723369405084,0.505088179570409,1,8000.0,9997.884237188626,-2.115762811374225
1999-11-24 00:00:00-05:00,0.05027119086935071,0.050017247279152265,0.048820242877857266,0.051117060029670466,0.06580639496613032,0.04922221114688334,0.0,0.0505428586025232,0.6159412080919647,0.051117060029670466,0.18379457103928232,0.4085273619343157,1,7000.0,10044.482485604556,44.48248560455613
1999-11-26 00:00:00-05:00,0.050892398960423094,0.05086660476634389,0.04995955278253118,0.05079932102515136,0.032608638503971624,0.047986344242858026,0.0,0.050630215418364835,0.6117811709624422,0.05079932102515136,0.15226144259040542,0.5542575231448561,1,6000.0,10025.55825886518,25.558258865179596
1999-11-29 00:00:00-05:00,0.05016766588553316,0.05001725561515351,0.049130969803581795,0.05026974305353908,0.06276905945122914,0.0477744728582883,0.0,0.05068845195904215,0.6026912114864523,0.05026974305353908,0.169518378557453,0.5228375187787382,1,5000.0,9983.59220628189,-16.407793718110042
1999-11-30 00:00:00-05:00,0.05061629886968146,0.050052633723834436,0.04892381274316608,0.050755178331265714,0.07944285897551835,0.04950464621192387,0.0,0.05092413051688748,0.5997250773634584,0.050755178331265714,0.22644714518131792,0.45394177016291337,1,4000.0,10031.716810065049,31.716810065048776
1999-12-01 00:00:00-05:00,0.05120297923877163,0.05079580598353428,0.049648814789442906,0.05196437347014354,0.05935685458854803,0.04780978475571659,0.0,0.05126627625340792,0.5809670154554107,0.05196437347014354,0.20406008773976136,0.410424078057118,1,3000.0,10175.416879410002,175.41687941000237
1999-12-02 00:00:00-05:00,0.05192770812329501,0.05192826732345679,0.05075358799781013,0.052882304613858754,0.06804457002012623,0.04657392846011229,0.0,0.05183772957629709,0.5720308879856124,0.052882304613858754,0.1486709103975814,0.4325199033828824,1,2000.0,10302.167924075911,302.1679240759113
1999-12-03 00:00:00-05:00,0.05296305912494376,0.05354735731722471,0.052272674538239826,0.053623732159539104,0.07938371058614214,0.044031638043871536,0.0,0.05248925782366802,0.5714146033325228,0.053623732159539104,0.07339698661149097,0.5098323449293902,1,1000.0,10418.567086947505,418.56708694750523
1999-12-06 00:00:00-05:00,0.05299758155236524,0.052989983019437144,0.05196196688426912,0.053235386058752776,0.05966442621330434,0.04396098595989225,0.0,0.05303887604337657,0.5758828753655246,0.053235386058752776,0.14971753814949817,0.5163723078673064,1,0.0,10350.357291472466,350.3572914724664
1999-12-07 00:00:00-05:00,0.051720647311230605,0.05192827316091937,0.05168574972928181,0.05185845929008441,0.06986555176772191,0.04106558010550896,0.0,0.053224507226650154,0.5621704106836252,0.05185845929008441,0.121156095277823,0.6220306881813382,1,0.0,10082.646562293541,82.64656229354114
1999-12-08 00:00:00-05:00,0.05141004888305819,0.051255873168976195,0.05078811952950672,0.05115235650648747,0.04896198519870705,0.042054263727536255,0.0,0.05334826074130962,0.5549291508720131,0.05115235650648747,0.1695086470015683,0.6025541117653574,1,0.0,9945.361635183861,-54.638364816139074
1999-12-09 00:00:00-05:00,0.05085785877821739,0.05111430253254715,0.050166669975434494,0.05171722741925846,0.05593150563933889,0.04470251458904425,0.0,0.053410135858327434,0.5577023238044924,0.05171722741925846,0.11414730892469294,0.48524897650681975,1,0.0,10055.18737711212,55.187377112120885
1999-12-10 00:00:00-05:00,0.05130653963755234,0.05157440337209046,0.05092624062243879,0.05235275846317118,0.04354688443088209,0.04364318949145868,0.0,0.053570289716942304,0.5563156910497855,0.05235275846317118,0.11291656392082228,0.4992813917460781,1,0.0,10178.751304441574,178.75130444157367
1999-12-13 00:00:00-05:00,0.052859491825167686,0.05185747240561878,0.05105565999197268,0.053906139330658194,0.0643876222662929,0.04378443354503149,0.0,0.05394518920177495,0.5671005490429397,0.053906139330658194,0.282073265375109,0.36768612306224746,1,0.0,10480.769345044935,480.7693450449351
1999-12-14 00:00:00-05:00,0.055171786722604005,0.053308493401774855,0.05247983575552763,0.05507126248881639,0.18455690758550491,0.03682835751025414,0.0,0.05439016208257495,0.5711065844418908,0.05507126248881639,0.38998335670689954,0.3975662092183212,1,0.0,10707.299889262214,707.2998892622145
