Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1990-01-02 00:00:00-05:00,0.36927672456323934,0.37562489509582525,0.36451495186046856,0.3756248950958252,53035200,0.0,0.0
1990-01-03 00:00:00-05:00,0.3787995443282497,0.3819736108298096,0.37456680177455864,0.3777414858341217,113774400,0.0,0.0
1990-01-04 00:00:00-05:00,0.3777413479066118,0.38938031403466966,0.3756246867871076,0.3888512849807739,125740800,0.0,0.0
1990-01-05 00:00:00-05:00,0.3872643874544816,0.3893804681808407,0.3787995559718507,0.37932854890823364,69566400,0.0,0.0
1990-01-08 00:00:00-05:00,0.3787995218201544,0.38514769077301025,0.37456677951797096,0.38514769077301025,58982400,0.0,0.0
1990-01-09 00:00:00-05:00,0.38514761100414746,0.3893803524296775,0.381973509021646,0.3840895891189575,70300800,0.0,0.0
1990-01-10 00:00:00-05:00,0.38091556654210434,0.3862063309557369,0.37297972870063917,0.3735087215900421,103766400,0.0,0.0
1990-01-11 00:00:00-05:00,0.37562493227709287,0.3787996535792302,0.3597538686530352,0.36610203981399536,95774400,0.0,0.0
1990-01-12 00:00:00-05:00,0.3602827328284181,0.369276629001104,0.3555209976848468,0.36451485753059387,148910400,0.0,0.0
1990-01-15 00:00:00-05:00,0.3629278062264106,0.3682185705803559,0.3608117620387921,0.36451485753059387,62467200,0.0,0.0
1990-01-16 00:00:00-05:00,0.36186987777797874,0.37774155738915793,0.3576377519806054,0.3756248950958252,80092800,0.0,0.0
1990-01-17 00:00:00-05:00,0.37245069925666013,0.38303161051949103,0.36821857450932666,0.370334655046463,97588800,0.0,0.0
1990-01-18 00:00:00-05:00,0.37932858802270175,0.40207746624946594,0.3787995950317717,0.40207746624946594,292363200,0.0,0.0
1990-01-19 00:00:00-05:00,0.4031354733479141,0.40631015742656346,0.3957292454791986,0.3983743190765381,99259200,0.0,0.0
1990-01-22 00:00:00-05:00,0.39784521772289894,0.39784521772289894,0.38303153090683595,0.3840895891189575,167688000,0.0,0.0
1990-01-23 00:00:00-05:00,0.38514771714368506,0.38620635687845495,0.37774148925247364,0.3798575699329376,139348800,0.0,0.0
1990-01-24 00:00:00-05:00,0.3724506218432346,0.3840895891189575,0.36874752708160397,0.3840895891189575,180345600,0.0,0.0
1990-01-25 00:00:00-05:00,0.38726427233236593,0.3914963962000574,0.38303153090683595,0.3840895891189575,112752000,0.0,0.0
1990-01-26 00:00:00-05:00,0.38303153090683595,0.386206250447176,0.38091548713645607,0.3840895891189575,68083200,0.0,0.0
1990-01-29 00:00:00-05:00,0.3872643411159516,0.39043844366221825,0.3819735768655176,0.38726434111595154,55080000,0.0,0.0
1990-01-30 00:00:00-05:00,0.38832255922392955,0.3914966267486774,0.3809157114540762,0.3862064778804779,73108800,0.0,0.0
1990-01-31 00:00:00-05:00,0.38938031672562123,0.39149636030197144,0.3862062150341676,0.39149636030197144,112939200,0.0,0.0
1990-02-01 00:00:00-05:00,0.3914964914050857,0.3989033366143311,0.3914964914050857,0.39678725600242615,89193600,0.0,0.0
1990-02-02 00:00:00-05:00,0.3936125720169907,0.40419348365368274,0.3936125720169907,0.39678725600242615,71395200,0.0,0.0
1990-02-05 00:00:00-05:00,0.3962581185349087,0.3989031910896301,0.394670450178927,0.3989031910896301,59731200,0.0,0.0
1990-02-06 00:00:00-05:00,0.39784523844718933,0.398903260387493,0.3904383946533254,0.39784523844718933,81964800,0.0,0.0
1990-02-07 00:00:00-05:00,0.39572924539080273,0.4010193925843,0.3936125834861737,0.39467060565948486,134150400,0.0,0.0
1990-02-08 00:00:00-05:00,0.3962581185349087,0.4020772563591395,0.394670450178927,0.3989031910896301,95227200,0.0,0.0
