Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Predictions,Capital,Portfolio_Value,Profit
2016-09-02 00:00:00-04:00,0.09254982957238578,0.09334016777907095,0.09446402459295009,0.09463540620862217,0.01997230803850271,0.0,0.0,,10000,10000,0
2016-09-06 00:00:00-04:00,0.09272760998249298,0.092710117900975,0.09411613422488765,0.09453625220723966,0.016525797109983406,0.0,0.0,,10000,10000,0
2016-09-07 00:00:00-04:00,0.0922266322236112,0.09277476288800487,0.09444748768523202,0.09461890882699149,0.018122803623141163,0.0,0.0,,10000,10000,0
2016-09-08 00:00:00-04:00,0.09248519528848136,0.09269396830959145,0.0940664398434687,0.09423876898914235,0.02160953545643629,0.0,0.0,,10000,10000,0
2016-09-09 00:00:00-04:00,0.09112761468388306,0.09225775473585765,0.09245946959969738,0.09222245377346647,0.04128334128988705,0.0,0.0,,10000,10000,0
2016-09-12 00:00:00-04:00,0.08985089748923072,0.09175697707404545,0.09146552151478432,0.09361075829047015,0.033645444049304,0.0,0.0,,10000,10000,0
2016-09-13 00:00:00-04:00,0.09065892601998245,0.09085224409864755,0.09219440034300644,0.09275131047075616,0.03473272288690408,0.0,0.0,,10000,10000,0
2016-09-14 00:00:00-04:00,0.09048116412108738,0.09081994761199953,0.09216128162113489,0.09230509625058508,0.026757285504280765,0.0,0.0,,10000,10000,0
2016-09-15 00:00:00-04:00,0.09009329776935578,0.09198312554709492,0.09207845495429333,0.09384211055571272,0.030417256398015558,0.0,0.0,,10000,10000,0
2016-09-16 00:00:00-04:00,0.09248519824508021,0.0924354875331243,0.09335408434878638,0.09394128577104503,0.05376115407182771,0.0,0.0,,10000,10000,0
2016-09-19 00:00:00-04:00,0.09190338528052948,0.0926293480451225,0.0935197457116599,0.09341242200243874,0.02264923270080484,0.0,0.0,,10000,10000,0
2016-09-20 00:00:00-04:00,0.09203265242330638,0.09198311459149627,0.09335406225381919,0.09321407864309071,0.017979007316524326,0.0,0.0,,10000,10000,0
2016-09-21 00:00:00-04:00,0.0922912284120164,0.0927908703506095,0.09390075191844932,0.09478413013937932,0.039434494078851905,0.0,0.0,,10000,10000,0
2016-09-22 00:00:00-04:00,0.09295386407852008,0.09303321926489773,0.09481192407530084,0.09488331242602824,0.021183798493792837,0.0,0.0,,10000,10000,0
2016-09-23 00:00:00-04:00,0.0928730659781702,0.09288782956785926,0.09439777039740525,0.09423876898914235,0.021358746285481147,0.0,0.0,,10000,10000,0
2016-09-26 00:00:00-04:00,0.09159630848901149,0.09164386488543076,0.0934866061222933,0.09336283085911427,0.023637142244252878,0.0,0.0,,10000,10000,0
2016-09-27 00:00:00-04:00,0.09135388228275625,0.09313014833404845,0.09323810417630149,0.09509816023832353,0.03201833757799701,0.0,0.0,,10000,10000,0
2016-09-28 00:00:00-04:00,0.09288923208464298,0.09313016199753671,0.09487819432274212,0.09523038678745001,0.022122549153625982,0.0,0.0,,10000,10000,0
2016-09-29 00:00:00-04:00,0.09277608936515198,0.09330785122783718,0.09411612501814161,0.09418917784581789,0.028598772026860207,0.0,0.0,,10000,10000,0
2016-09-30 00:00:00-04:00,0.09238821942487387,0.09266165194832927,0.09433149780694557,0.09451971946902597,0.03444434162847872,0.0,0.0,,10000,10000,0
2016-10-03 00:00:00-04:00,0.0921296260174673,0.09230622359620336,0.09386762773669617,0.09422222210829546,0.02035217213916328,0.0,0.0,,10000,10000,0
2016-10-04 00:00:00-04:00,0.09190337768383659,0.09238700920694842,0.09371854009420023,0.09392475303283135,0.021530408055537447,0.0,0.0,,10000,10000,0
2016-10-05 00:00:00-04:00,0.09193569500120716,0.09296859277394039,0.09419895631436674,0.09458582213661432,0.01711465218643993,0.0,0.0,,10000,10000,0
2016-10-06 00:00:00-04:00,0.09266298508724428,0.09280706774332785,0.09423211534691536,0.09475112123348477,0.016439309020628855,0.0,0.0,,10000,10000,0
2016-10-07 00:00:00-04:00,0.09284074486039616,0.09300091828722568,0.09446403396275996,0.09485026816355066,0.02153448272236114,0.0,0.0,,10000,10000,0
2016-10-10 00:00:00-04:00,0.0929376751528305,0.0936632424680526,0.09520948469829976,0.09524687709776408,0.019046964346928173,0.0,0.0,,10000,10000,0
2016-10-11 00:00:00-04:00,0.09290538160832887,0.09306553031942998,0.0935860028429006,0.09384211055571272,0.029957739132995025,0.0,0.0,,10000,10000,0
2016-10-12 00:00:00-04:00,0.09164478598577948,0.09185388001657974,0.0927742428667236,0.09370989107790284,0.024279625193743836,0.0,0.0,,10000,10000,0
2016-10-13 00:00:00-04:00,0.09098215494620882,0.09190233058484751,0.09264169483582924,0.09339586097895865,0.028401873610670054,0.0,0.0,,10000,10000,0
2016-10-14 00:00:00-04:00,0.0916609433635862,0.0926131772118236,0.09396702246201234,0.09422222210829546,0.03114741040464859,0.0,0.0,,10000,10000,0
2016-10-17 00:00:00-04:00,0.0920488340477948,0.09216084005212047,0.09355287504382581,0.09389170169903717,0.026451685492503662,0.0,0.0,,10000,10000,0
2016-10-18 00:00:00-04:00,0.09232359683379204,0.09295247164643868,0.09444748768523202,0.09461890882699149,0.02029959579305109,0.0,0.0,,10000,10000,0
2016-10-19 00:00:00-04:00,0.09222660236799564,0.09277473285165398,0.09443089343129983,0.09440402565811319,0.025200894218494675,0.0,0.0,,10000,10000,0
2016-10-20 00:00:00-04:00,0.09227509801852478,0.0922577788062633,0.09320498591076216,0.09394128577104503,0.06013419586581675,0.0,0.0,,10000,10000,0
2016-10-21 00:00:00-04:00,0.09676795154033514,0.09699124712799853,0.09789327818488273,0.09792426848853954,0.1003243434791661,0.0,0.0,,10000,10000,0
2016-10-24 00:00:00-04:00,0.09621848377782367,0.09787980553101702,0.09862222149308414,0.10013890584961363,0.06619545992736052,0.0,0.0,,10000,10000,0
2016-10-25 00:00:00-04:00,0.09768915782624144,0.09847753268642584,0.10006348660481383,0.10012236604008334,0.0413139670114974,0.0,0.0,,10000,10000,0
2016-10-26 00:00:00-04:00,0.09762451571771304,0.09820289533132277,0.09951679549296533,0.09952739253257212,0.03444539315540096,0.0,0.0,,10000,10000,0
2016-10-27 00:00:00-04:00,0.09730129628699523,0.09760516317874235,0.09888727853147106,0.09865146854517724,0.03256355428718042,0.0,0.0,,10000,10000,0
2016-10-28 00:00:00-04:00,0.09633160154821852,0.09710434251075578,0.09804238583429901,0.09827134284996131,0.039260203491489995,0.0,0.0,,10000,10000,0
