Date,Profit
2001-02-15 00:00:00-05:00,0.0
2001-02-16 00:00:00-05:00,-25.504955072357916
2001-02-20 00:00:00-05:00,-75.02885216564391
2001-02-21 00:00:00-05:00,-55.397790691618866
2001-02-22 00:00:00-05:00,-129.9064841241143
2001-02-23 00:00:00-05:00,7.978458945253806
2001-02-26 00:00:00-05:00,305.72780617432727
2001-02-27 00:00:00-05:00,282.7323304838519
2001-02-28 00:00:00-05:00,230.41845268442194
2001-03-01 00:00:00-05:00,286.64435685925855
2001-03-02 00:00:00-05:00,-176.37755346776794
2001-03-05 00:00:00-05:00,-46.40536819613226
2001-03-06 00:00:00-05:00,300.1853180861199
2001-03-07 00:00:00-05:00,516.7983957703836
2001-03-08 00:00:00-05:00,267.69091593662233
2001-03-09 00:00:00-05:00,-176.37755346776794
2001-03-12 00:00:00-05:00,-999.5229763143889
2001-03-13 00:00:00-05:00,-609.6123861584601
2001-03-14 00:00:00-05:00,-642.1078729732253
2001-03-15 00:00:00-05:00,-696.2587018974355
2001-03-16 00:00:00-05:00,-544.6246665247363
2001-03-19 00:00:00-05:00,-587.9505360573967
2001-03-20 00:00:00-05:00,-869.5545873711962
2001-03-21 00:00:00-05:00,-1324.4485584997692
2001-03-22 00:00:00-05:00,-642.1078729732253
2001-03-23 00:00:00-05:00,-198.0415728993703
2001-03-26 00:00:00-05:00,-284.6846346425391
2001-03-27 00:00:00-05:00,94.39719979340043
2001-03-28 00:00:00-05:00,-371.33745837312927
2001-03-29 00:00:00-05:00,-403.82752186155085
2001-03-30 00:00:00-05:00,-522.9649857542136
2001-04-02 00:00:00-04:00,-328.0115888404707
2001-04-03 00:00:00-04:00,-750.4160388132623
2001-04-04 00:00:00-04:00,-999.5229763143889
2001-04-05 00:00:00-04:00,-165.54500141933568
2001-04-06 00:00:00-04:00,-263.0216998762062
2001-04-09 00:00:00-04:00,-96.230552024801
2001-04-10 00:00:00-04:00,342.20525063406967
2001-04-11 00:00:00-04:00,404.5919429510668
2001-04-12 00:00:00-04:00,775.4422526552971
2001-04-16 00:00:00-04:00,534.5619588921636
2001-04-17 00:00:00-04:00,654.135458223247
2001-04-18 00:00:00-04:00,1338.6427626260047
2001-04-19 00:00:00-04:00,1790.9438414273773
2001-04-20 00:00:00-04:00,1957.3043771667144
2001-04-23 00:00:00-04:00,1827.3430385477714
2001-04-24 00:00:00-04:00,1706.0329901199111
2001-04-25 00:00:00-04:00,2076.8865538199534
2001-04-26 00:00:00-04:00,1979.8404674751491
2001-04-27 00:00:00-04:00,1631.5132320961166
2001-04-30 00:00:00-04:00,1740.691299482447
2001-05-01 00:00:00-04:00,2160.065194691717
2001-05-02 00:00:00-04:00,2089.014196200402
2001-05-03 00:00:00-04:00,1875.8622853917295
2001-05-04 00:00:00-04:00,2260.570278581572
2001-05-07 00:00:00-04:00,2369.7526846289857
2001-05-08 00:00:00-04:00,2487.591804193824
2001-05-09 00:00:00-04:00,2199.9255586877025
2001-05-10 00:00:00-04:00,2130.606770632092
2001-05-11 00:00:00-04:00,2026.6275038834046
2001-05-14 00:00:00-04:00,1908.7883843185682
2001-05-15 00:00:00-04:00,1830.8020360928276
2001-05-16 00:00:00-04:00,1985.0414374433312
2001-05-17 00:00:00-04:00,1813.474508409463
2001-05-18 00:00:00-04:00,1799.6103169322323
2001-05-21 00:00:00-04:00,1920.9171113642842
2001-05-22 00:00:00-04:00,2184.3248181136914
2001-05-23 00:00:00-04:00,2078.613340929305
2001-05-24 00:00:00-04:00,2428.6706174134997
2001-05-25 00:00:00-04:00,2288.3019155318434
2001-05-29 00:00:00-04:00,2189.5247034166077
2001-05-30 00:00:00-04:00,1990.234814754629
2001-05-31 00:00:00-04:00,1988.5015196536551
2001-06-01 00:00:00-04:00,2189.5247034166077
2001-06-04 00:00:00-04:00,2265.7788412066457
2001-06-05 00:00:00-04:00,2581.1702156714146
2001-06-06 00:00:00-04:00,2539.5754719091838
2001-06-07 00:00:00-04:00,2768.3237846307893
2001-06-08 00:00:00-04:00,2683.4107639927824
2001-06-11 00:00:00-04:00,2497.986151473304
2001-06-12 00:00:00-04:00,2491.0583943957645
2001-06-13 00:00:00-04:00,2250.1781006326346
2001-06-14 00:00:00-04:00,1939.9779341486192
2001-06-15 00:00:00-04:00,1787.485928547594
2001-06-18 00:00:00-04:00,1589.9271656560431
2001-06-19 00:00:00-04:00,1666.1704567933866
2001-06-20 00:00:00-04:00,2028.360798984375
2001-06-21 00:00:00-04:00,2102.875133681824
2001-06-22 00:00:00-04:00,1927.8513764334402
2001-06-25 00:00:00-04:00,1931.3201359659215
2001-06-26 00:00:00-04:00,2154.8653093888024
2001-06-27 00:00:00-04:00,2311.1558995246487
2001-06-28 00:00:00-04:00,2533.3036458797324
2001-06-29 00:00:00-04:00,2564.746866173229
2001-07-02 00:00:00-04:00,2317.1461791313086
2001-07-03 00:00:00-04:00,2306.0898200952342
2001-07-05 00:00:00-04:00,2173.933302271318
2001-07-06 00:00:00-04:00,2049.868654798802
2001-07-09 00:00:00-04:00,2037.3655179692687
2001-07-10 00:00:00-04:00,2016.9812883475934
2001-07-11 00:00:00-04:00,2016.9812883475934
2001-07-12 00:00:00-04:00,2016.9812883475934
2001-07-13 00:00:00-04:00,2016.9812883475934
2001-07-16 00:00:00-04:00,2016.9812883475934
2001-07-17 00:00:00-04:00,2016.9812883475934
2001-07-18 00:00:00-04:00,2016.9812883475934
2001-07-19 00:00:00-04:00,2016.9812883475934
2001-07-20 00:00:00-04:00,2016.9812883475934
2001-07-23 00:00:00-04:00,2016.9812883475934
2001-07-24 00:00:00-04:00,2016.9812883475934
2001-07-25 00:00:00-04:00,2016.9812883475934
2001-07-26 00:00:00-04:00,2016.9812883475934
2001-07-27 00:00:00-04:00,2016.9812883475934
2001-07-30 00:00:00-04:00,2016.9812883475934
2001-07-31 00:00:00-04:00,2016.9812883475934
2001-08-01 00:00:00-04:00,2016.9812883475934
2001-08-02 00:00:00-04:00,2016.9812883475934
2001-08-03 00:00:00-04:00,2016.9812883475934
2001-08-06 00:00:00-04:00,2016.9812883475934
2001-08-07 00:00:00-04:00,2016.9812883475934
2001-08-08 00:00:00-04:00,2016.9812883475934
2001-08-09 00:00:00-04:00,2016.9812883475934
2001-08-10 00:00:00-04:00,2016.9812883475934
2001-08-13 00:00:00-04:00,2016.9812883475934
2001-08-14 00:00:00-04:00,2016.9812883475934
2001-08-15 00:00:00-04:00,2016.9812883475934
2001-08-16 00:00:00-04:00,2016.9812883475934
2001-08-17 00:00:00-04:00,1974.5792890804369
2001-08-20 00:00:00-04:00,2000.5204277230805
2001-08-21 00:00:00-04:00,1909.1586856688737
2001-08-22 00:00:00-04:00,1901.4750747571452
2001-08-23 00:00:00-04:00,1777.469513888227
2001-08-24 00:00:00-04:00,2062.9605315466433
2001-08-27 00:00:00-04:00,2092.4839692257337
2001-08-28 00:00:00-04:00,1889.0104831301687
2001-08-29 00:00:00-04:00,1817.4356794604155
2001-08-30 00:00:00-04:00,1279.0213381650137
2001-08-31 00:00:00-04:00,1298.8456539833096
2001-09-04 00:00:00-04:00,1110.98332922597
2001-09-05 00:00:00-04:00,1435.3013131820535
2001-09-06 00:00:00-04:00,1095.1610378401565
2001-09-07 00:00:00-04:00,972.5497288839488
2001-09-10 00:00:00-04:00,1403.6567304104265
2001-09-17 00:00:00-04:00,480.1426428012328
2001-09-18 00:00:00-04:00,758.9766447848197
2001-09-19 00:00:00-04:00,669.9866219830983
2001-09-20 00:00:00-04:00,54.97441574625009
2001-09-21 00:00:00-04:00,-152.67041484491347
2001-09-24 00:00:00-04:00,302.16631047903866
2001-09-25 00:00:00-04:00,161.75910115519582
2001-09-26 00:00:00-04:00,-41.92365834733755
2001-09-27 00:00:00-04:00,-103.23055058585669
2001-09-28 00:00:00-04:00,136.05081733423322
2001-10-01 00:00:00-04:00,258.6565563685763
2001-10-02 00:00:00-04:00,507.8325810467177
2001-10-03 00:00:00-04:00,1136.6878997656859
2001-10-04 00:00:00-04:00,1178.2172372120403
2001-10-05 00:00:00-04:00,1431.3429553746646
2001-10-08 00:00:00-04:00,1494.6197433137659
2001-10-09 00:00:00-04:00,806.441043421426
2001-10-10 00:00:00-04:00,994.3046059391818
2001-10-11 00:00:00-04:00,1154.4856567739444
