Date,Open,High,Low,Close,Volume,EMA_Open,EMA_High,EMA_Low,EMA_Close,stoch_k,stoch_d,RSI,Williams %R,MACD,MACD_signal,MACD_hist,OBV,ROC (Rate of Change),return_5,return_14,return_90,volatility,momentum_7,momentum_30,momentum_90,Target
1999-05-13 00:00:00-04:00,0.5420574195211149,0.5362070380883208,0.532769275988884,0.5160681389608323,0.07009572764580409,0.5411650372840964,0.5352673490074427,0.5320081841163549,0.5208200918252937,0.21872233337458047,0.2519414267221642,0.34854798160063016,0.7812776666254194,0.36953013549012187,0.3698022608491577,0.4608470866435345,0.32696978978231794,0.3329625309962768,0.571907674373491,0.33296253099627665,0.5269946870161926,0.06916797132428806,0.48704758002990767,0.32331878487879306,0.5269946870161928,1
1999-05-14 00:00:00-04:00,0.5146727009564496,0.5141945407390107,0.5020310012728864,0.48884753923605206,0.1264157023754574,0.5199927883807032,0.5190573999688753,0.5071029539044027,0.4965252732913914,0.05085244126185022,0.18234618519850915,0.28988479610624507,0.9491475587381498,0.3593110949014511,0.3645443914257723,0.4442509051016694,0.310919574044492,0.2720842840569543,0.5007301329475075,0.27208428405695406,0.4713045449692848,0.10374999844149024,0.4303567884357318,0.276374352400375,0.4713045449692848,1
1999-05-17 00:00:00-04:00,0.4964153205098366,0.5096395708277877,0.5066412913176037,0.5160681389608323,0.09615404841954293,0.5011080132740586,0.5121507598341478,0.5058241565195711,0.5135559923408083,0.19788417139230366,0.14693386865322539,0.3561322971819175,0.8021158286076963,0.36527350160313626,0.3616868913780874,0.4695413478057773,0.3236322211946065,0.3380661640428382,0.5204885940224271,0.3380661640428381,0.4581612145979263,0.09613858551745744,0.48126086500132326,0.27097063517295294,0.4581612145979263,1
1999-05-18 00:00:00-04:00,0.526082707266928,0.5179893687267791,0.5181683654753739,0.5107751646387395,0.09099549061560779,0.5211371496486765,0.5174871687401394,0.5148251020247747,0.5127057446707555,0.25713318531119006,0.16002143945203112,0.35391575436146494,0.7428668146888098,0.3691050212834784,0.3602676447714276,0.48469487651367205,0.3114885132210945,0.37016196232349924,0.5115901167096147,0.37016196232349907,0.4551981486634283,0.09732554857378761,0.4630402787555947,0.2728120130870414,0.4551981486634283,1
1999-05-19 00:00:00-04:00,0.5268435085076132,0.5134350450222549,0.5097152910532095,0.5183366863404605,0.061084200636483066,0.5257534689773222,0.5148903200927282,0.5098371317848298,0.5186163587840669,0.34274591281733696,0.25947709539520514,0.3777012686109342,0.6572540871826629,0.3770512342131001,0.36092981291670967,0.5066247932424703,0.320333294374622,0.3863275444530558,0.5100048418091817,0.3863275444530556,0.4637946091815109,0.09569746418415634,0.4594849942622945,0.2856726460387835,0.4637946091815109,1
1999-05-20 00:00:00-04:00,0.5230400459364599,0.514953232510418,0.5235478011944377,0.507750737696275,0.05397243263123175,0.5236247088029394,0.5155923912033397,0.519947600701276,0.5112856986468567,0.3519134676433966,0.31195886078544577,0.3562113379236532,0.6480865323566034,0.37990311781508823,0.36210469090196407,0.5120267363612738,0.3122728726461278,0.38746431174819274,0.5196014972656774,0.38746431174819257,0.46924943611007947,0.09083329383915908,0.4398064630516614,0.2691265251871303,0.46924943611007947,1
1999-05-21 00:00:00-04:00,0.5101081622123231,0.5028081492813001,0.5066415013893906,0.4971647890520894,0.07842652779470878,0.5128219859758858,0.5059616139368998,0.5083932545750545,0.5013067836595422,0.19933014982058947,0.2922638714470787,0.3275876623881842,0.8006698501794105,0.37873121765779616,0.36277948999762666,0.5067578737300524,0.3015154000565859,0.3950072338305746,0.5502589973111459,0.39500723383057457,0.49004392598302243,0.07081156885827458,0.40945773613121084,0.25976530674068177,0.49004392598302243,1
1999-05-24 00:00:00-04:00,0.5025008645574583,0.48914459850692277,0.49511417102260263,0.49338380102844903,0.04811659533805554,0.5045570944138663,0.4930426008381369,0.4968254746214759,0.49627048615544533,0.1980977171857709,0.24297848969163488,0.3132977663420288,0.801902282814229,0.3775053071313039,0.3630420079384511,0.5024140535538882,0.29410082070778865,0.41767913155988273,0.5028661266835591,0.4176791315598825,0.48229848428664635,0.0724438390947188,0.421650670195314,0.26505692251438506,0.4822984842866464,1
1999-05-25 00:00:00-04:00,0.48880911829810814,0.5058450573733171,0.49588352530128904,0.48128639615563085,0.06846529370656983,0.4919174065038504,0.5038949664563396,0.49512974111434066,0.4855349929817213,0.05540155760769261,0.1419492122966502,0.2834038925292903,0.9445984423923073,0.37248062908592594,0.36211535660717886,0.489884891314985,0.2844419761719495,0.39257760164500394,0.4816670920585469,0.3925776016450038,0.4818579097641321,0.09726244674237539,0.44617135594356605,0.2803841279561674,0.4818579097641322,1
1999-05-26 00:00:00-04:00,0.49413341779669384,0.496735577679349,0.4881982078564158,0.5085069201561511,0.07058816835333931,0.493661862763628,0.498736509117196,0.4886189748581316,0.5052775162088495,0.4123693390172425,0.21453717457701726,0.37598878605843244,0.5876306609827574,0.38236257855804456,0.36360949675059373,0.5153905025383808,0.2943349533083077,0.4374002708661295,0.5114591223656315,0.43740027086612926,0.46171302832634753,0.09242359480732004,0.4515883779218408,0.3462750605624041,0.4617130283263475,1
